#{"t_start": 1734332524.8439288, "env_id": "CartPole-v1"}
r,l,t
25.0,25,5.012604
36.0,36,5.028141
46.0,46,5.059396
16.0,16,5.059396
23.0,23,5.075228
14.0,14,5.075228
49.0,49,5.107123
26.0,26,5.122963
13.0,13,5.122963
55.0,55,5.154903
15.0,15,5.154903
35.0,35,5.16992
41.0,41,5.201595
17.0,17,5.201595
19.0,19,5.217312
18.0,18,5.217312
29.0,29,5.233976
17.0,17,5.24967
21.0,21,5.264763
11.0,11,5.264763
37.0,37,5.296024
20.0,20,5.296024
21.0,21,5.312529
50.0,50,5.327552
31.0,31,5.359738
17.0,17,5.359738
17.0,17,5.374749
16.0,16,5.374749
16.0,16,5.390381
19.0,19,5.390381
41.0,41,5.422457
16.0,16,5.422457
11.0,11,5.43832
35.0,35,5.453327
37.0,37,5.468959
10.0,10,5.468959
10.0,10,5.484824
10.0,10,5.484824
16.0,16,5.500459
18.0,18,5.500459
12.0,12,5.516143
15.0,15,5.516143
43.0,43,6.53864
10.0,10,6.53864
28.0,28,6.569901
14.0,14,6.569901
16.0,16,6.585525
11.0,11,6.585525
18.0,18,6.601145
19.0,19,6.617068
98.0,98,6.680571
21.0,21,6.680571
24.0,24,7.73747
101.0,101,7.800251
14.0,14,7.815931
45.0,45,7.847439
16.0,16,7.847439
25.0,25,7.864164
16.0,16,7.879848
31.0,31,8.889845
23.0,23,8.905681
17.0,17,8.921318
26.0,26,8.936942
13.0,13,8.952964
33.0,33,8.96876
38.0,38,9.000455
18.0,18,9.000455
58.0,58,9.047575
58.0,58,10.116724
23.0,23,10.132358
13.0,13,10.137376
34.0,34,10.148388
12.0,12,10.165103
11.0,11,10.180054
24.0,24,10.196534
23.0,23,10.210893
18.0,18,10.211902
36.0,36,10.228347
15.0,15,10.243352
25.0,25,11.203755
53.0,53,11.250941
18.0,18,11.250941
38.0,38,11.283335
39.0,39,11.298374
29.0,29,11.330438
20.0,20,11.345522
44.0,44,12.370336
13.0,13,12.385383
55.0,55,12.41737
30.0,30,12.448214
16.0,16,12.448214
80.0,80,12.510904
33.0,33,12.526528
19.0,19,12.542884
39.0,39,13.565549
14.0,14,13.565549
22.0,22,13.581331
27.0,27,13.612385
31.0,31,13.628195
17.0,17,13.643831
70.0,70,13.691226
20.0,20,13.707044
30.0,30,14.698701
67.0,67,14.74558
66.0,66,14.79245
46.0,46,14.824545
16.0,16,14.840178
24.0,24,14.855801
31.0,31,15.8314
21.0,21,15.847033
18.0,18,15.862751
17.0,17,15.878456
16.0,16,15.894736
19.0,19,15.909948
21.0,21,15.925803
21.0,21,15.925803
23.0,23,15.957062
29.0,29,15.97292
33.0,33,15.9886
11.0,11,15.9886
18.0,18,16.004291
13.0,13,16.978816
20.0,20,16.994548
72.0,72,17.028204
17.0,17,17.041712
24.0,24,17.073118
59.0,59,17.104826
33.0,33,17.136356
12.0,12,17.151981
136.0,136,18.203707
67.0,67,18.250837
34.0,34,18.282226
34.0,34,19.2729
71.0,71,19.320082
11.0,11,19.335715
13.0,13,19.335715
12.0,12,19.351342
56.0,56,19.38289
43.0,43,19.414261
14.0,14,19.429937
34.0,34,20.420749
40.0,40,20.436705
31.0,31,20.468321
21.0,21,20.483946
29.0,29,20.499931
39.0,39,20.531464
43.0,43,20.56277
17.0,17,20.578427
11.0,11,20.578427
24.0,24,21.58477
24.0,24,21.600394
76.0,76,21.663746
67.0,67,21.726846
88.0,88,21.77399
12.0,12,22.766822
105.0,105,22.846974
27.0,27,22.862737
18.0,18,22.877754
29.0,29,22.909272
34.0,34,22.940528
